121;Mg;3.76
104;Ba;0.00
28;K;0.56
148;Na;13.33
110;Si;74.45
30;Ba;0.00
4;Ba;0.00
98;Ba;0.00
79;Si;72.88
29;K;0.57
18;K;0.15
38;Mg;3.48
125;Si;72.75
125;Na;13.20
179;Type;6
131;Ca;11.14
80;Ca;7.97
95;Type;2
23;Si;72.79
71;Ba;0.00
50;Ca;8.91
12;Al;1.27
14;Fe;0.17
23;Ba;0.00
21;Mg;3.55
91;Ca;8.96
59;Na;13.48
35;Type;1
75;Ca;7.90
156;Ba;0.00
85;Type;2
132;Si;71.24
93;Type;2
124;Ca;7.99
200;Fe;0.00
74;Na;13.34
50;Type;1
103;Ba;0.00
144;Ca;8.18
64;Al;0.78
180;Na;14.09
146;Na;12.85
14;K;0.54
49;Ca;10.02
58;Al;1.29
128;Ba;0.00
67;Mg;3.65
49;Type;1
49;Si;71.99
35;K;0.57
83;K;0.68
152;Type;3
176;Ca;11.27
171;Fe;0.00
193;Fe;0.09
88;Si;72.65
143;Al;1.44
86;Fe;0.00
149;Na;13.24
157;Type;3
12;Mg;3.66
85;Ba;0.00
192;Type;7
156;Fe;0.00
7;Ca;8.17
65;Si;72.01
130;Ca;10.56
144;K;0.66
201;Ba;0.63
185;Ba;0.00
66;Fe;0.00
9;Fe;0.00
90;Ba;0.00
207;Type;7
175;Fe;0.51
119;Fe;0.29
147;Fe;0.00
152;Na;14.32
13;Al;1.40
20;Si;72.73
30;K;0.60
112;Ba;0.00
69;Al;0.90
72;Ca;8.32
208;Ba;2.88
34;Na;12.57
86;Type;2
178;Si;72.76
81;Ca;7.97
57;Si;72.98
192;Si;73.28
85;Na;14.25
71;Al;1.74
172;Na;13.02
162;K;0.16
193;Mg;0.00
52;Na;13.20
25;K;0.50
117;K;0.55
206;Mg;0.00
97;Al;1.06
47;Ca;8.83
47;Ba;0.00
4;Fe;0.00
123;Ba;0.00
96;Type;2
62;Si;71.72
