115;K;0.60
116;K;0.51
172;Ca;6.96
52;Si;72.36
185;Ca;6.65
194;Type;7
189;Al;2.06
194;Fe;0.08
146;K;0.62
39;Si;71.77
42;K;0.59
14;Si;73.21
175;Type;5
10;Na;13.00
70;Al;0.82
25;Mg;3.50
55;Ca;9.02
118;Ca;7.88
126;Fe;0.12
88;Mg;3.49
183;Type;6
129;Ca;9.57
4;Ba;0.00
85;Si;72.28
213;Al;1.94
11;Mg;3.46
1;Ba;0.00
152;K;0.00
58;Mg;3.48
41;K;0.64
178;Al;1.19
81;Si;72.66
135;Si;72.78
126;Ca;8.55
196;Ca;9.07
8;Ca;8.24
130;K;0.39
163;Mg;3.78
129;Si;72.18
73;Mg;3.59
172;Na;13.02
45;Mg;3.43
135;Mg;3.85
75;Na;13.02
37;Si;71.81
147;Si;72.77
44;Mg;3.84
65;Ca;9.61
129;Al;1.67
75;Fe;0.00
164;Ba;2.20
196;Na;14.14
13;Type;1
59;Fe;0.00
62;Ba;0.69
20;Al;1.69
161;Na;13.33
173;Al;3.02
63;Mg;3.86
113;Mg;0.00
169;Si;73.88
188;Na;13.44
65;K;0.18
163;Na;14.19
91;Mg;3.74
109;Type;2
34;K;0.60
30;Ca;8.49
18;K;0.15
28;Ca;8.43
181;Na;14.40
165;Fe;0.00
214;Al;2.08
2;Fe;0.00
5;Fe;0.00
176;Si;73.39
151;Type;3
89;Ba;0.00
47;K;0.57
158;Ba;0.00
200;Si;73.05
211;Fe;0.00
207;Na;14.94
138;Ba;0.00
162;Fe;0.24
126;Mg;3.66
17;Mg;3.67
168;Al;1.65
125;Mg;3.68
80;Na;12.82
193;Na;14.20
4;Si;72.61
12;Ca;8.56
112;Al;0.75
206;Ba;1.55
23;Ba;0.00
149;Si;72.70
32;Na;12.84
158;Fe;0.00
29;Al;1.43
30;Fe;0.00
196;Ba;0.61
3;Si;72.99
7;K;0.58
203;K;0.00
202;Ba;0.00
102;Mg;2.72
