190;Al;1.31
90;Type;2
30;Na;13.08
54;Type;1
154;Fe;0.00
93;Type;2
71;Na;14.86
116;Type;2
24;Si;73.02
98;Ba;0.00
36;Al;1.21
107;Type;2
90;Ca;8.08
163;Fe;0.37
153;Si;73.00
136;Type;2
36;Si;72.74
37;Na;13.89
67;Si;72.22
155;Na;12.86
187;Si;71.25
119;Ca;8.03
68;Na;13.05
133;Al;1.18
202;Si;75.18
140;Si;73.14
102;Mg;2.72
76;Ba;0.00
19;Na;13.90
34;K;0.60
135;Mg;3.85
102;Type;2
17;Al;1.16
169;Na;12.86
120;Mg;3.57
42;Mg;3.42
46;Type;1
197;Mg;0.00
21;Ca;8.52
92;Ca;8.27
175;Si;72.18
102;Fe;0.00
117;Si;72.33
131;Ba;0.00
66;K;0.09
193;Ca;9.04
112;Ca;14.96
7;Al;1.14
115;Al;1.19
128;Ca;9.85
71;Si;71.87
100;Na;12.96
56;Al;1.29
68;Si;72.32
15;Na;12.61
22;Mg;3.75
34;Fe;0.06
43;Mg;3.39
94;Si;73.10
149;K;0.56
213;Type;7
91;Mg;3.74
138;Si;72.96
11;Fe;0.24
55;Ba;0.00
16;K;0.58
197;Na;13.87
70;Mg;3.58
22;Type;1
29;K;0.57
177;Na;14.00
45;K;0.62
71;Al;1.74
96;K;0.51
14;Type;1
150;Mg;3.52
69;Ca;9.82
91;Ba;0.00
4;Fe;0.00
103;Type;2
146;Si;72.57
63;Type;1
167;Mg;1.71
164;Si;69.89
111;K;0.00
201;Si;73.50
