189;Ca;9.76
109;Ca;11.52
108;Al;1.00
192;Si;73.28
198;Type;7
49;Fe;0.00
202;Mg;0.00
168;Ca;11.53
54;Al;1.28
194;Mg;0.00
154;Na;13.42
73;Type;2
13;Na;12.88
16;Mg;3.54
4;K;0.57
105;Ba;0.00
199;K;0.04
163;K;0.23
207;Type;7
85;K;1.10
49;Ca;10.02
179;Fe;0.00
117;Si;72.33
85;Ba;0.00
159;Si;72.04
27;Ca;8.43
49;Ba;0.00
62;Ba;0.69
5;Ca;8.07
29;Na;12.56
122;Mg;3.54
174;K;0.33
66;Ba;0.00
79;Fe;0.14
170;Fe;0.00
57;Na;12.99
181;Fe;0.00
126;Mg;3.66
93;Type;2
112;Al;0.75
184;Al;0.56
55;Type;1
39;K;0.11
33;Ba;0.09
202;Na;11.95
185;Si;75.41
149;Type;3
149;Mg;3.57
131;Al;1.36
136;Ca;8.44
122;K;0.64
180;K;0.00
102;Al;1.63
44;Ba;0.00
200;Al;2.51
199;Ca;9.08
136;K;0.55
54;Fe;0.00
213;K;0.00
21;K;0.54
155;Ca;8.79
36;Ca;8.57
31;Na;12.65
62;Ca;8.67
20;Al;1.69
97;Si;72.34
24;Na;12.81
190;Mg;1.83
111;Na;11.23
207;Si;73.11
103;Mg;2.76
75;Al;1.54
39;Ba;0.00
181;Type;6
143;Ba;0.06
57;Fe;0.31
171;Ba;0.00
60;Si;72.79
132;Si;71.24
174;Mg;0.00
35;Si;72.95
142;Mg;3.63
178;Na;13.79
123;K;0.56
157;Al;1.28
89;Ba;0.00
