120;Si;72.45
124;Type;2
193;Ba;0.40
95;Na;12.71
194;Al;2.00
82;Si;73.17
72;Al;1.27
162;Ca;8.89
82;Na;13.25
53;Mg;2.87
110;Type;2
48;Si;71.57
64;Na;14.17
174;K;0.33
10;K;0.57
213;Na;14.38
58;K;0.60
207;Fe;0.00
146;Si;72.57
116;Mg;3.89
165;Al;1.86
65;Mg;3.74
159;Al;1.52
127;Fe;0.00
196;Na;14.14
147;Si;72.77
115;Mg;3.97
133;K;0.58
122;Al;1.62
9;Fe;0.00
50;Mg;3.35
159;Ba;0.00
54;Ca;9.07
151;K;0.60
164;Al;3.50
71;Al;1.74
98;K;0.62
169;Si;73.88
63;Type;1
164;Na;14.01
70;Al;0.82
152;Ba;0.00
143;Al;1.44
111;Type;2
211;Mg;0.00
205;Na;14.95
180;Type;6
109;K;0.10
211;Si;73.06
45;K;0.62
142;Fe;0.17
86;Si;72.72
187;Al;2.22
122;K;0.64
169;Al;1.83
50;Ca;8.91
16;K;0.58
151;Type;3
30;Type;1
67;Mg;3.65
33;K;0.61
30;Fe;0.00
164;Fe;0.00
160;K;0.57
