231;Cylinders;8
263;Acceleration;15.4
364;Cylinders;4
157;Displacement;120.0
129;Horsepower;150.0
98;Cylinders;8
376;Weight;2605.
325;Cylinders;4
202;Weight;3085.
317;Displacement;98.00
122;Horsepower;90.00
247;Model;77
170;Acceleration;19.0
363;Model;81
337;Displacement;91.00
334;Horsepower;48.00
326;Model;80
81;Acceleration;14.0
137;Weight;1950.
381;Horsepower;90.00
313;Weight;2670.
252;Weight;1985.
196;Acceleration;13.0
123;Origin;US
323;Origin;US
369;Displacement;145.0
152;Acceleration;16.5
183;Model;75
397;Model;82
59;Displacement;79.00
48;Model;71
281;Acceleration;14.9
193;Origin;US
112;Displacement;400.0
174;Origin;US
134;Cylinders;6
118;Weight;2379.
